synthetic_profile_benchmark files_observed=5473804389 phases=100 elapsed_s=1970.039 files_per_second=2778526.176 logical_size_bytes=7548229507007918 small_files=3970514982 large_files=1503289407
phase index=24 name=phase_24 files=100000000 small=30948497 large=69051503 small_ratio=0.309 logical_size_bytes=25227560832165 avg_filename_len=23.007 avg_depth=5.001 size_buckets=<=0:906/0,<=4096:417570/1366054151,<=16384:25308610/256389434387,<=65536:5159747/109993833797,<=131072:61664/7146984679,<=1048576:69050376/24751032232754,<=16777216:969/5000618854,<=134217728:134/6858214823,<=1073741824:23/6099920502,<=inf:1/83673538218
phase index=25 name=phase_25 files=100000000 small=34611673 large=65388327 small_ratio=0.346 logical_size_bytes=20447738839350 avg_filename_len=23.002 avg_depth=5.003 size_buckets=<=0:762/0,<=4096:537160/1482166122,<=16384:30639429/321787415350,<=65536:3200956/62253107899,<=131072:233366/28779581033,<=1048576:65382685/19996997387583,<=16777216:5592/29808071444,<=134217728:42/1662086338,<=1073741824:7/2391343104,<=inf:1/2577680477
phase index=26 name=phase_26 files=100000000 small=45477560 large=54522440 small_ratio=0.455 logical_size_bytes=16986488441537 avg_filename_len=23.907 avg_depth=5.014 size_buckets=<=0:27372/0,<=4096:789291/1652759823,<=16384:30542577/346805116127,<=65536:12722131/253967070864,<=131072:1396189/157446929539,<=1048576:54366433/13418294800619,<=16777216:151088/903136528889,<=134217728:4153/124329445266,<=1073741824:414/188800277488,<=inf:352/1592055512922
phase index=27 name=phase_27 files=100000000 small=52273184 large=47726816 small_ratio=0.523 logical_size_bytes=11043176118064 avg_filename_len=26.449 avg_depth=5.000 size_buckets=<=0:69049/0,<=4096:292559/872147002,<=16384:27092792/333998423517,<=65536:22006395/446794366504,<=131072:2812389/313430038761,<=1048576:47720483/9867893844349,<=16777216:5480/29030368310,<=134217728:848/28870413867,<=1073741824:3/500907562,<=inf:2/21785608192
phase index=28 name=phase_28 files=100000000 small=52184743 large=47815257 small_ratio=0.522 logical_size_bytes=10929852134442 avg_filename_len=26.599 avg_depth=5.000 size_buckets=<=0:66008/0,<=4096:283003/841419117,<=16384:27155205/334641335621,<=65536:22017049/446862867577,<=131072:2663478/304380139221,<=1048576:47814699/9829788580138,<=16777216:526/3202541498,<=134217728:31/1079912774,<=1073741824:0/0,<=inf:1/9055338496
phase index=29 name=phase_29 files=100000000 small=52225915 large=47774085 small_ratio=0.522 logical_size_bytes=10987303520429 avg_filename_len=26.672 avg_depth=5.000 size_buckets=<=0:62147/0,<=4096:258612/771962762,<=16384:26995985/334385110302,<=65536:22283445/453044077552,<=131072:2625726/299458448379,<=1048576:47772659/9883470301797,<=16777216:1124/5421411227,<=134217728:300/9957271752,<=1073741824:2/794936658,<=inf:0/0
phase index=30 name=phase_30 files=100000000 small=51941547 large=48058453 small_ratio=0.519 logical_size_bytes=10956009565559 avg_filename_len=26.494 avg_depth=5.000 size_buckets=<=0:61490/0,<=4096:264480/798547834,<=16384:27642757/340752849921,<=65536:21641636/439242045193,<=131072:2331184/268497473855,<=1048576:48056347/9880629176229,<=16777216:1591/7438467283,<=134217728:514/17905205564,<=1073741824:1/745799680,<=inf:0/0
phase index=31 name=phase_31 files=100000000 small=52469334 large=47530666 small_ratio=0.525 logical_size_bytes=10806679420752 avg_filename_len=26.643 avg_depth=5.000 size_buckets=<=0:65981/0,<=4096:279708/849035802,<=16384:28835448/353807855053,<=65536:21564385/435273148790,<=131072:1723812/200071093403,<=1048576:47526677/9766063177643,<=16777216:3626/19871232012,<=134217728:361/11886778785,<=1073741824:0/0,<=inf:2/18857099264
phase index=32 name=phase_32 files=100000000 small=51364184 large=48635816 small_ratio=0.514 logical_size_bytes=11455961364350 avg_filename_len=26.976 avg_depth=5.005 size_buckets=<=0:65093/0,<=4096:381136/867271623,<=16384:28429131/350506357049,<=65536:21179279/427971477013,<=131072:1309545/152688210218,<=1048576:48594707/10030495963846,<=16777216:37476/218045295349,<=134217728:3601/118019846924,<=1073741824:7/2264988280,<=inf:25/155101954048
phase index=33 name=phase_33 files=100000000 small=53136739 large=46863261 small_ratio=0.531 logical_size_bytes=25320203119511 avg_filename_len=27.985 avg_depth=5.204 size_buckets=<=0:60955/0,<=4096:890562/945213609,<=16384:24570685/300582373233,<=65536:24009340/512453145743,<=131072:3605197/391119911358,<=1048576:45487326/9686212818437,<=16777216:1176845/7775296067441,<=134217728:196882/5799703639301,<=1073741824:2168/630731942554,<=inf:40/223158007835
phase index=34 name=phase_34 files=100000000 small=95096159 large=4903841 small_ratio=0.951 logical_size_bytes=10390507401673 avg_filename_len=22.737 avg_depth=5.282 size_buckets=<=0:21759/0,<=4096:79318/96559666,<=16384:371220/4380554201,<=65536:11864750/613519496678,<=131072:82759112/7840621506605,<=1048576:4664898/763541614597,<=16777216:234286/995962318395,<=134217728:4621/163150947269,<=1073741824:36/9234404262,<=inf:0/0
phase index=35 name=phase_35 files=100000000 small=97784784 large=2215216 small_ratio=0.978 logical_size_bytes=9179680506503 avg_filename_len=23.085 avg_depth=5.027 size_buckets=<=0:19765/0,<=4096:860/1631300,<=16384:47129/429626942,<=65536:9888116/554161953529,<=131072:87828914/8297571964751,<=1048576:2213541/320211403230,<=16777216:1671/7197097499,<=134217728:4/106829252,<=1073741824:0/0,<=inf:0/0
phase index=36 name=phase_36 files=100000000 small=97842273 large=2157727 small_ratio=0.978 logical_size_bytes=9148307040911 avg_filename_len=23.067 avg_depth=5.020 size_buckets=<=0:16128/0,<=4096:757/687831,<=16384:18018/185340365,<=65536:10458006/582096382988,<=131072:87349364/8242237453209,<=1048576:2154998/312775182960,<=16777216:2728/10984589960,<=134217728:1/27403598,<=1073741824:0/0,<=inf:0/0
phase index=37 name=phase_37 files=100000000 small=98425578 large=1574422 small_ratio=0.984 logical_size_bytes=9260062950577 avg_filename_len=23.048 avg_depth=5.010 size_buckets=<=0:11014/0,<=4096:2173/2434010,<=16384:52596/588957839,<=65536:9247512/518156763822,<=131072:89112283/8471982690943,<=1048576:1566183/223849765564,<=16777216:8231/45134221246,<=134217728:8/348117153,<=1073741824:0/0,<=inf:0/0
phase index=38 name=phase_38 files=100000000 small=93522969 large=6477031 small_ratio=0.935 logical_size_bytes=41748584534724 avg_filename_len=22.586 avg_depth=5.343 size_buckets=<=0:11719/0,<=4096:227755/314725561,<=16384:502439/5175637694,<=65536:13765715/749208096872,<=131072:79015341/7355075934579,<=1048576:4347691/946220417235,<=16777216:1698453/9696874486177,<=134217728:415983/17386083155405,<=1073741824:14554/5088522878705,<=inf:350/521109202496
phase index=39 name=phase_39 files=100000000 small=98099652 large=1900348 small_ratio=0.981 logical_size_bytes=9155129069181 avg_filename_len=23.034 avg_depth=5.000 size_buckets=<=0:8529/0,<=4096:19/27651,<=16384:10964/76661804,<=65536:10358561/581780359590,<=131072:87721579/8304054881789,<=1048576:1900347/269214291918,<=16777216:1/2846429,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=40 name=phase_40 files=100000000 small=98908923 large=1091077 small_ratio=0.989 logical_size_bytes=9031899518443 avg_filename_len=23.040 avg_depth=5.000 size_buckets=<=0:7521/0,<=4096:295/524272,<=16384:17831/128649103,<=65536:12258197/685837537228,<=131072:86625079/8141624511024,<=1048576:1090952/152097433067,<=16777216:99/457852372,<=134217728:6/383905537,<=1073741824:10/4023123583,<=inf:10/47345982257
phase index=41 name=phase_41 files=100000000 small=49659698 large=50340302 small_ratio=0.497 logical_size_bytes=23460209545230 avg_filename_len=22.901 avg_depth=6.568 size_buckets=<=0:5723/0,<=4096:166944/205947458,<=16384:231950/2361009038,<=65536:8191633/446901475422,<=131072:41063448/3839282695747,<=1048576:49571790/13690582783010,<=16777216:756854/4837719398687,<=134217728:10923/355807306405,<=1073741824:698/204151130069,<=inf:37/83197799394
phase index=42 name=phase_42 files=100000000 small=95475799 large=4524201 small_ratio=0.955 logical_size_bytes=9408161553340 avg_filename_len=23.019 avg_depth=5.058 size_buckets=<=0:416/0,<=4096:2493/2831615,<=16384:13467/115607755,<=65536:12173793/677246873752,<=131072:83285630/7797859446693,<=1048576:4515533/902163247004,<=16777216:8662/30631056719,<=134217728:6/142489802,<=1073741824:0/0,<=inf:0/0
phase index=43 name=phase_43 files=100000000 small=96829521 large=3170479 small_ratio=0.968 logical_size_bytes=9272191533383 avg_filename_len=23.021 avg_depth=5.026 size_buckets=<=0:874/0,<=4096:1360/1506019,<=16384:9044/93441184,<=65536:11114156/619690267469,<=131072:85704087/8065113277932,<=1048576:3165942/571219589258,<=16777216:4536/15999441481,<=134217728:1/74010040,<=1073741824:0/0,<=inf:0/0
phase index=44 name=phase_44 files=100000000 small=98065646 large=1934354 small_ratio=0.981 logical_size_bytes=9169801183339 avg_filename_len=23.013 avg_depth=5.009 size_buckets=<=0:633/0,<=4096:931/1114384,<=16384:42722/350737317,<=65536:10705884/600448358435,<=131072:87315476/8242034046827,<=1048576:1931329/316329998898,<=16777216:3023/10586873148,<=134217728:2/50054330,<=1073741824:0/0,<=inf:0/0
phase index=45 name=phase_45 files=100000000 small=97097069 large=2902931 small_ratio=0.971 logical_size_bytes=9452543125962 avg_filename_len=23.006 avg_depth=5.046 size_buckets=<=0:412/0,<=4096:1147/1302543,<=16384:15243/147090242,<=65536:9705990/542766447033,<=131072:87374277/8276224651435,<=1048576:2898964/619463824833,<=16777216:3966/13888386958,<=134217728:1/51422918,<=1073741824:0/0,<=inf:0/0
phase index=46 name=phase_46 files=100000000 small=63865892 large=36134108 small_ratio=0.639 logical_size_bytes=18510730135580 avg_filename_len=22.853 avg_depth=6.186 size_buckets=<=0:1918/0,<=4096:200862/287502134,<=16384:618908/6968890708,<=65536:7915593/423282212624,<=131072:55128611/5216841629213,<=1048576:35451385/9738517669218,<=16777216:682290/2873076493367,<=134217728:377/12985715296,<=1073741824:54/18580359727,<=inf:2/220189663293
phase index=47 name=phase_47 files=100000000 small=83337029 large=16662971 small_ratio=0.833 logical_size_bytes=23888046607886 avg_filename_len=22.412 avg_depth=5.670 size_buckets=<=0:2154/0,<=4096:960546/2685512622,<=16384:1415425/13875301061,<=65536:9359127/498329247772,<=131072:71599777/6758695787747,<=1048576:16232234/4145935928885,<=16777216:429832/3107640641166,<=134217728:412/12826604668,<=1073741824:27/10952547101,<=inf:466/9337105036864
phase index=48 name=phase_48 files=100000000 small=98035270 large=1964730 small_ratio=0.980 logical_size_bytes=9188866731112 avg_filename_len=23.011 avg_depth=5.001 size_buckets=<=0:823/0,<=4096:11941/34146274,<=16384:15099/129883888,<=65536:9650540/547946239237,<=131072:88356867/8360850371491,<=1048576:1964663/279409013656,<=16777216:67/497076566,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=49 name=phase_49 files=100000000 small=98634226 large=1365774 small_ratio=0.986 logical_size_bytes=9152459630258 avg_filename_len=23.012 avg_depth=5.000 size_buckets=<=0:924/0,<=4096:1617/4583371,<=16384:20498/152700845,<=65536:9681860/548083890638,<=131072:88929327/8409700806934,<=1048576:1365732/194231317824,<=16777216:42/286330646,<=134217728:0/0,<=1073741824:0/0,<=inf:0/0
phase index=50 name=phase_50 files=100000000 small=98844215 large=1155785 small_ratio=0.988 logical_size_bytes=9115335368415 avg_filename_len=22.905 avg_depth=5.049 size_buckets=<=0:1315/0,<=4096:30071/82553052,<=16384:276230/3184732937,<=65536:9500056/524045711160,<=131072:89036543/8414708249142,<=1048576:1155469/165831226040,<=16777216:277/1169860568,<=134217728:27/1075836245,<=1073741824:12/5237199271,<=inf:0/0
phase index=51 name=phase_51 files=100000000 small=70485222 large=29514778 small_ratio=0.705 logical_size_bytes=16171416054646 avg_filename_len=14.403 avg_depth=9.217 size_buckets=<=0:2240/0,<=4096:3141150/9674655652,<=16384:22069092/234962709963,<=65536:28268695/995399452717,<=131072:17004045/1586600729492,<=1048576:29512121/6744235923816,<=16777216:2198/7730629916,<=134217728:96/4698921505,<=1073741824:23/8252028244,<=inf:340/6579861003341
phase index=52 name=phase_52 files=100000000 small=68188955 large=31811045 small_ratio=0.682 logical_size_bytes=7882314496733 avg_filename_len=12.812 avg_depth=10.001 size_buckets=<=0:1121/0,<=4096:1217609/3776671639,<=16384:18277891/216168029345,<=65536:34326339/1196817768509,<=131072:14365995/1348750705195,<=1048576:31810840/5103001418114,<=16777216:132/495546194,<=134217728:45/3460442568,<=1073741824:28/9843915169,<=inf:0/0
